Jersey Number,Player Name,Position,Height,Weight,Birthdate,Experience,College
46,John Konchar,SG,6-5,210,"March 22, 1996",5,Purdue-Fort Wayne
17,Yuki Kawamura  (TW),PG,5-8,159,"May 2, 2001",R,
8,Colin Castleton  (TW),C,6-11,250,"May 25, 2000",1,"Michigan, Florida"
24,Cam Spencer  (TW),SG,6-3,205,"April 6, 2000",R,"Loyola (MD), Rutgers University, UConn"
5,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",2,VCU
,GG Jackson II,PF,6-9,215,"December 17, 2004",1,South Carolina
21,Daniel Gafford,C,6-10,234,"October 1, 1998",5,Arkansas
5,Quentin Grimes,SG,6-5,205,"May 8, 2000",3,"Kansas, Houston"
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",10,Colorado
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",13,Duke
31,Klay Thompson,SF,6-5,215,"February 8, 1990",11,Washington State
13,Naji Marshall,SF,6-7,220,"January 24, 1998",4,Xavier
2,Dereck Lively II,C,7-1,230,"February 12, 2004",1,Duke
25,P.J. Washington,PF,6-7,230,"August 23, 1998",5,Kentucky
7,Dwight Powell,C,6-10,240,"July 20, 1991",10,Stanford
77,Luka Dončić,PG,6-6,230,"February 28, 1999",6,
1,Jaden Hardy,SG,6-4,198,"July 5, 2002",2,
8,Olivier-Maxence Prosper,PF,6-8,230,"July 3, 2002",1,"Clemson, Marquette"
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",7,
0,Jazian Gortman  (TW),PG,6-2,184,"April 14, 2003",R,
20,Kessler Edwards  (TW),SF,6-8,215,"August 9, 2000",3,Pepperdine
10,Brandon Williams  (TW),PG,6-1,190,"November 22, 1999",2,Arizona
88,Markieff Morris,PF,6-9,245,"September 2, 1989",13,Kansas
,Dante Exum,PG,6-5,214,"July 13, 1995",7,
30,Julian Champagnie,SF,6-8,220,"June 29, 2001",2,St. John's
40,Harrison Barnes,PF,6-8,225,"May 30, 1992",12,UNC
3,Chris Paul,PG,6-0,175,"May 6, 1985",19,Wake Forest
5,Stephon Castle,PG,6-6,215,"November 1, 2004",R,UConn
0,Keldon Johnson,SF,6-5,220,"October 11, 1999",5,Kentucky
1,Victor Wembanyama,C,7-3,209,"January 4, 2004",1,
23,Zach Collins,C,6-11,250,"November 19, 1997",6,Gonzaga
14,Blake Wesley,SG,6-5,185,"March 16, 2003",2,Notre Dame
22,Malaki Branham,SG,6-4,180,"May 12, 2003",2,Ohio State
28,Charles Bassey,C,6-10,235,"October 28, 2000",3,Western Kentucky
54,Sandro Mamukelashvili,PF,6-11,240,"May 23, 1999",3,Seton Hall
10,Jeremy Sochan,PF,6-8,230,"May 20, 2003",2,Baylor
24,Devin Vassell,SG,6-5,200,"August 23, 2000",4,Florida State
33,Tre Jones,PG,6-1,185,"January 8, 2000",4,Duke
25,Sidy Cissoko,SF,6-8,200,"April 2, 2004",1,
7,David Duke Jr.  (TW),SG,6-5,205,"October 13, 1999",3,Providence
27,Riley Minix  (TW),SF,6-7,230,"September 22, 2000",R,"Southeastern University, Morehead State University"
55,Harrison Ingram  (TW),SF,6-5,230,"November 27, 2002",R,"Stanford, UNC"
21,Yves Missi,C,6-11,235,"May 14, 2004",R,Baylor
4,Javonte Green,SG,6-4,205,"July 23, 1993",5,Radford
11,Brandon Boston Jr.  (TW),SG,6-7,185,"November 28, 2001",3,Kentucky
50,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",3,Villanova
10,Daniel Theis,C,6-8,245,"April 4, 1992",7,
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",8,Duke
3,CJ McCollum,PG,6-3,190,"September 19, 1991",11,Lehigh
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",3,"Rice University, Virginia"
8,Jamal Cain  (TW),SF,6-7,191,"March 20, 1999",2,"Marquette, Oakland"
55,Trey Jemison  (TW),C,6-11,260,"November 28, 1999",1,"Clemson, UAB"
12,Antonio Reeves,SG,6-5,205,"November 20, 2000",R,"Illinois State, Kentucky"
24,Jordan Hawkins,SG,6-5,195,"April 29, 2002",1,UConn
5,Dejounte Murray,PG,6-5,180,"September 19, 1996",7,Washington
2,Herbert Jones,SF,6-8,210,"October 6, 1998",3,Alabama
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",3,Georgia Tech
1,Zion Williamson,PF,6-6,284,"July 6, 2000",4,Duke
17,Karlo Matković,PF,6-11,231,"March 30, 2001",R,
31,Jarrett Allen,C,6-11,243,"April 21, 1998",7,Texas
20,Georges Niang,PF,6-7,230,"June 17, 1993",8,Iowa State
45,Donovan Mitchell,SG,6-3,215,"September 7, 1996",7,Louisville
10,Darius Garland,PG,6-1,192,"January 26, 2000",5,Vanderbilt
2,Ty Jerome,SG,6-5,195,"July 8, 1997",5,Virginia
4,Evan Mobley,PF,6-11,215,"June 18, 2001",3,USC
5,Sam Merrill,SG,6-4,205,"May 15, 1996",4,Utah State University
3,Caris LeVert,SF,6-6,205,"August 25, 1994",8,Michigan
35,Isaac Okoro,SG,6-5,225,"January 26, 2001",4,Auburn
32,Dean Wade,PF,6-9,228,"November 20, 1996",5,Kansas State
9,Craig Porter Jr.,PG,6-2,186,"February 26, 2000",1,"Vincennes University, Wichita State"
24,Jaylon Tyson,SG,6-6,215,"December 2, 2002",R,"Texas, Texas Tech, California"
13,Tristan Thompson,PF,6-9,254,"March 13, 1991",13,Texas
33,Luke Travers  (TW),SG,6-8,199,"September 3, 2001",R,
15,JT Thor  (TW),PF,6-10,205,"August 26, 2002",3,Auburn
1,Max Strus,SF,6-5,215,"March 28, 1996",5,"Lewis (IL), DePaul"
,Emoni Bates  (TW),SF,6-10,170,"January 28, 2004",1,"Memphis, Eastern Michigan"
11,Brook Lopez,C,7-1,282,"April 1, 1988",16,Stanford
12,Taurean Prince,SF,6-6,218,"March 22, 1994",8,Baylor
9,Bobby Portis,PF,6-10,250,"February 10, 1995",9,Arkansas
20,A.J. Green,SG,6-4,200,"September 27, 1999",2,University of Northern Iowa
44,Andre Jackson Jr.,SG,6-6,210,"November 13, 2001",1,UConn
5,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",6,Duke
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",11,
0,Damian Lillard,PG,6-2,195,"July 15, 1990",12,Weber State
55,Delon Wright,PG,6-5,185,"April 26, 1992",9,Utah
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",9,Notre Dame
3,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",2,Yakima Valley Community College
21,Tyler Smith,PF,6-11,224,"November 2, 2004",R,
17,Stanley Umude  (TW),SG,6-6,210,"April 12, 1999",2,"South Dakota, Arkansas"
22,Khris Middleton,SF,6-7,222,"August 12, 1991",12,Texas A&M
15,Liam Robbins  (TW),C,7-0,250,"July 12, 1999",R,"Drake University, Minnesota, Vanderbilt"
77,AJ Johnson,SG,6-4,160,"December 1, 2004",R,
7,Chris Livingston,SF,6-6,220,"October 15, 2003",1,Kentucky
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",8,New Mexico State
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",4,Iowa State
0,Bennedict Mathurin,SG,6-6,210,"June 19, 2002",2,Arizona
5,Jarace Walker,PF,6-8,240,"September 4, 2003",1,Houston
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",9,"Duquesne, Arizona"
1,Obi Toppin,PF,6-9,220,"March 4, 1998",4,Dayton
33,Myles Turner,C,6-11,250,"March 24, 1996",9,Texas
12,Johnny Furphy,SG,6-8,200,"December 8, 2004",R,Kansas
2,Andrew Nembhard,SG,6-5,193,"January 16, 2000",2,"Florida, Gonzaga"
26,Ben Sheppard,SG,6-6,190,"July 16, 2001",1,Belmont
8,Enrique Freeman  (TW),PF,6-7,206,"July 29, 2000",R,University of Akron
29,Quenton Jackson  (TW),PG,6-5,175,"September 15, 1998",2,Texas A&M
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",4,Vanderbilt
22,Isaiah Jackson,C,6-10,206,"January 10, 2002",3,Kentucky
4,Tristen Newton  (TW),SG,6-5,190,"April 26, 2001",R,"East Carolina University, UConn"
3,Thomas Bryant,C,6-10,248,"July 31, 1997",7,Indiana
16,James Johnson,PF,6-7,240,"February 20, 1987",15,Wake Forest
13,James Wiseman,C,7-0,240,"March 31, 2001",3,Memphis
11,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",3,Illinois
9,Nikola Vučević,C,6-10,260,"October 24, 1990",13,USC
14,Matas Buzelis,SF,6-10,209,"October 13, 2004",R,
15,Julian Phillips,SF,6-8,198,"November 5, 2003",1,Tennessee
0,Coby White,SG,6-5,195,"February 16, 2000",5,UNC
3,Josh Giddey,PG,6-8,210,"October 10, 2002",3,
7,Jalen Smith,C,6-10,215,"March 16, 2000",4,Maryland
25,Dalen Terry,SG,6-7,195,"July 12, 2002",2,Arizona
8,Zach LaVine,SF,6-5,200,"March 10, 1995",10,UCLA
22,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",5,Iowa State
44,Patrick Williams,PF,6-7,215,"August 26, 2001",4,Florida State
27,Chris Duarte,SG,6-6,190,"June 13, 1997",3,Oregon
5,Jevon Carter,PG,6-1,200,"September 14, 1995",6,West Virginia
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",5,UCLA
13,Torrey Craig,SF,6-7,221,"December 19, 1990",7,USC Upstate
32,E.J. Liddell  (TW),PF,6-7,240,"December 18, 2000",1,Ohio State
21,Adama Sanogo  (TW),C,6-9,245,"February 12, 2002",1,UConn
,DJ Steward  (TW),SG,6-2,163,"October 2, 2001",R,Duke
5,Malik Beasley,SG,6-4,187,"November 26, 1996",8,Florida State
0,Ron Holland,SF,6-8,206,"July 7, 2005",R,
12,Tobias Harris,PF,6-8,226,"July 15, 1992",13,Tennessee
19,Simone Fontecchio,SF,6-8,209,"December 9, 1995",2,
23,Jaden Ivey,SG,6-4,195,"February 13, 2002",2,Purdue
8,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",11,Michigan
0,Jalen Duren,C,6-10,250,"November 18, 2003",2,Memphis
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",4,Washington
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",3,Oklahoma State
25,Marcus Sasser,PG,6-2,195,"September 21, 2000",1,Houston
7,Paul Reed,C,6-9,210,"June 14, 1999",4,DePaul
14,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",2,Duke
9,Ausar Thompson,SF,6-7,215,"January 30, 2003",1,
24,Daniss Jenkins  (TW),PG,6-3,165,"August 17, 2001",R,"University of the Pacific, Iona College, St. John's"
13,Cole Swider  (TW),SF,6-9,220,"May 8, 1999",2,"Villanova, Syracuse"
31,Alondes Williams  (TW),SG,6-4,210,"June 19, 1999",2,"Triton College, Oklahoma, Wake Forest"
,Bobi Klintman,SF,6-9,225,"March 6, 2003",R,Wake Forest
